,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
concat_isEmpty_equals_contains_l2_d2_bench,0.83,0.76,0.04,78524,0.04,0.01,0.00,9320,7.99,7.60,0.35,709868,0.08,0.06,0.01,28840,
delete_concat_isEmpty_equals_contains_l3_d3_bench,0.94,0.84,0.07,111016,0.19,0.17,0.00,16624,8.29,8.01,0.23,522076,0.09,0.04,0.02,29312,
delete_isEmpty_equals_contains_l2_d2_bench,0.67,0.59,0.06,64148,0.10,0.07,0.00,13456,5.25,5.01,0.17,345712,0.07,0.04,0.01,27616,
replace_concat_isEmpty_equals_contains_l3_d3_bench,3.28,2.90,0.33,591324,,,,,14.12,13.72,0.33,738884,0.06,0.04,0.00,26256,
replace_delete_concat_isEmpty_equals_contains_l3_d3_bench,1.12,1.01,0.09,145808,,,,,,,,,0.07,0.04,0.01,26616,
replace_isEmpty_equals_contains_l2_d2_bench,0.91,0.82,0.05,109112,1.89,1.78,0.01,30396,5.48,5.28,0.16,344304,0.08,0.04,0.01,26168,
replace_toLowerCase_delete_substring12_concat_isEmpty_equals_contains_l3_d3_bench,1.29,1.19,0.08,139712,,,,,,,,,0.08,0.04,0.01,26732,
substring12_concat_isEmpty_equals_contains_l3_d2_bench,0.56,0.48,0.05,58492,0.09,0.07,0.00,12136,8.87,8.47,0.34,700544,0.09,0.06,0.01,30948,
substring12_concat_isEmpty_equals_contains_l3_d3_bench,0.68,0.60,0.05,66424,0.25,0.23,0.00,15608,,,,,0.21,0.17,0.02,38264,
substring12_isEmpty_equals_contains_l2_d2_bench,0.82,0.73,0.06,85808,0.05,0.02,0.00,10104,3.48,3.30,0.13,287300,0.07,0.04,0.02,28232,
toLowerCase_concat_isEmpty_equals_contains_l3_d3_bench,0.99,0.91,0.06,95108,,,,,,,,,,,,,
toLowerCase_isEmpty_equals_contains_l2_d2_bench,0.72,0.64,0.05,65116,,,,,11.78,11.38,0.35,714228,0.11,0.08,0.02,32264,
toLowerCase_substring12_concat_isEmpty_equals_contains_l3_d2_bench,0.70,0.62,0.06,62440,,,,,,,,,,,,,
